year,temp,sun,wind,cloud,rain,snow,high_temp,low_temp
2009/2/1,7.8,122.6,3.5,7,68.5,0,11.7,4.4
2009/3/1,9.7,159.3,4,6.7,104,0,13.7,6.1
2009/4/1,15.3,232.8,3.4,5.4,163,0,20,11.5
2009/5/1,19.4,163.9,3.6,8.5,256,0,23.3,16.4
2009/6/1,21.8,103.5,2.9,9,218,0,25.3,19.3
2009/7/1,25.3,111.9,3.8,9.1,112.5,0,28.4,22.9
2009/8/1,26.1,186.8,2.9,7.8,226,0,29.9,23.6
2009/9/1,22.6,150.8,2.8,7.8,41.5,0,26,20.1
2009/10/1,18.5,150.4,3.2,6.5,297,0,21.9,15.6
2009/11/1,13.2,122.5,3.2,7.1,180,0,16.6,10
2009/12/1,9,178.9,3.5,4.9,77.5,0,12.4,6.3
2010/1/1,7.1,223.7,3.3,4.2,12,0,11.2,3.2
2010/2/1,6.6,118.5,3.2,6.9,138,1,10.1,3.3
2010/3/1,9.1,144.9,4,7.2,211,0,13.4,5.1
2010/4/1,12.2,131.4,3.8,8.6,234,0,16.6,8.6
2010/5/1,18.4,195.7,3.5,7.8,102.5,0,22.6,15.1
2010/6/1,22.8,170.8,3.3,7.8,141,0,26.8,19.8
2010/7/1,27.1,216,3.8,7.9,110,0,31,24.4
2010/8/1,28.6,259,3.6,5.8,56.5,0,32.7,26.1
2010/9/1,24.7,183.1,3.2,7.2,374,0,28.7,21.8
2010/10/1,18.6,91.9,3.2,8.5,208.5,0,21.7,16.4
2010/11/1,13.4,161.1,2.9,5.7,96,0,17.1,9.9
2010/12/1,9.9,197.9,3.4,4.6,172,0,14,6.2
2011/1/1,5.3,241.8,3.2,3.7,0,0,9.4,1.9
2011/2/1,7.2,146,3.7,6,138.5,4,11.4,3.3
2011/3/1,8.1,213.3,3.9,5.4,86.5,0,12.8,4.1
2011/4/1,14.5,220.9,4.5,6.2,77,0,19.2,10.4
2011/5/1,18.2,157.9,3.6,7.9,251.5,0,22,15.1
2011/6/1,22.4,121.1,3.2,8.9,199,0,26.1,19.5
2011/7/1,26.7,204.1,3.9,7,71,0,30.7,23.9
2011/8/1,27.1,203.9,3.1,7.8,165,0,31.4,24.4
2011/9/1,24.9,203.8,3.8,7,212.5,0,28.7,22
2011/10/1,19.2,152.1,3.5,7.6,149,0,22.7,16.3
2011/11/1,14.8,142.7,2.9,7.1,155.5,0,18.1,11.7
2011/12/1,7.5,180.7,3.3,4.9,51.5,0,11.2,4.2
2012/1/1,4.8,168.9,3.7,5.9,24.5,0,8.6,1.7
2012/2/1,5.4,144.7,3.6,6.8,129,5,9.2,2.2
2012/3/1,8.6,148.7,3.8,6.8,217,0,12.4,5.1
2012/4/1,14,174.5,3.8,7.3,202,0,18.3,10.6
2012/5/1,18.9,204.9,3.5,7.5,237.5,0,23.3,15.5
2012/6/1,20.8,128.7,3.2,9.3,233.5,0,24.4,18.2
2012/7/1,25.5,195.2,3.6,8.5,146,0,29.4,22.8
2012/8/1,28.1,273.3,3.4,6.2,18,0,32.4,25.4
2012/9/1,25.4,188.6,3.5,8.2,342,0,29.3,22.5
2012/10/1,19,173.7,3.7,6.8,167,0,22.8,15.9
2012/11/1,12.4,160.6,3.4,5.6,179,0,16.1,9.2
2012/12/1,7.2,163.2,3.7,5.1,102,0,11,3.8
2013/1/1,5.4,218.7,3.7,4.5,73.5,13,9.6,1.8
2013/2/1,5.8,152.2,4,6.1,56.5,0,10,2.4
2013/3/1,12,196.5,4.3,6.7,26.5,0,16.6,8.1
2013/4/1,14.8,198.8,4.6,6.4,281,0,19,10.6
2013/5/1,19.1,248.3,3.8,6.8,75.5,0,23.5,15.5
2013/6/1,22,141.8,3.3,8.7,183,0,25.7,19.4
2013/7/1,26.3,176.8,3.2,8.8,80,0,30.4,23.5
2013/8/1,28.4,242.5,3.3,7,79.5,0,32.7,25.3
2013/9/1,24.5,179,3.6,6.5,192,0,28.4,21.3
2013/10/1,19.4,123.9,4,7.9,394,0,22.6,16.8
2013/11/1,13.2,185,3.5,4.6,21,0,17.1,9.6
2013/12/1,8.2,193.2,3.4,4.7,54,0,12,4.7
2014/1/1,6.4,206.6,3.7,4.9,38.5,0,10.5,2.5
2014/2/1,5.8,126,4.2,7.6,127.5,44,9.9,2.7
2014/3/1,10.1,197.5,4.3,6.3,128,0,14.5,6.4
2014/4/1,14.3,222,3.4,6,154.5,0,19,10.5
2014/5/1,19.5,253,3.8,6.4,127.5,0,24.3,15.8
2014/6/1,22.6,172.1,2.9,8.4,348.5,0,26.4,19.8
2014/7/1,25.9,197.5,3,7.4,68.5,0,30.1,23.1
2014/8/1,26.8,197.3,4.1,7.2,125.5,0,30.5,24.1
2014/9/1,22.8,166.6,3.1,7.6,88.5,0,26.7,19.9
2014/10/1,18.6,142.6,3.3,7.3,476,0,22.7,15.6
2014/11/1,14,142.2,3.5,6.4,90,0,17.2,11
2014/12/1,7.5,197.3,3.4,4.4,87,0,11.4,4
2015/1/1,6.2,188.9,3.7,4.5,106.5,0,10.4,2.7
2015/2/1,6.4,167.3,3.5,5.6,53,0,10.5,3.3
2015/3/1,10.5,184.9,3.9,6,113,0,15,6.9
2015/4/1,14.6,152.5,3.7,8.1,121,0,18.8,11.1
2015/5/1,20.8,249.9,3.6,7,69.5,0,25.4,17.3
2015/6/1,21.9,143.1,2.8,8.9,145.5,0,25.8,19.1
2015/7/1,26,204.8,3.6,7.7,325.5,0,29.7,23.4
2015/8/1,26.8,176.8,3.3,7.4,118,0,30.2,24.4
2015/9/1,22.9,125.4,3.2,8.5,483,0,26.2,20.5
2015/10/1,18.9,192,3.3,6.1,54,0,22.6,15.9
2015/11/1,14.7,122.9,3.2,7.1,137,0,17.9,11.9
2015/12/1,10.1,167.6,3.5,5.9,110,0,13.7,7.1
2016/1/1,6.9,194.2,3.1,4.6,73.5,5,10.8,3.4
2016/2/1,7.8,168.4,3.7,5.8,101.5,0,12,4.2
2016/3/1,10.5,155.6,3.4,7.1,206.5,0,14.5,7
2016/4/1,15.7,140.9,3.7,8.5,154,0,20,12.2
2016/5/1,20.2,218.7,3.9,7.3,129,0,24.6,16.6
2016/6/1,22.3,142.1,3.2,8.5,175.5,0,26,19.6
2016/7/1,25.4,169.2,2.8,7.7,290,0,29.3,22.7
2016/8/1,27.4,192,3.5,7.6,220.5,0,31.3,24.5
2016/9/1,24.6,109.7,3,8.8,314,0,27.6,22.5
2016/10/1,19.3,117.2,3,8.2,66.5,0,22.6,16.4
2016/11/1,12.1,130,3.4,7,148,0,15.8,8.9
2016/12/1,10,197.2,3.5,5.4,90.5,0,14.4,5.9
