year,avg_temp,avg_temp1,avg_temp2,sun,sun1,sun2,sun3,avg_wind,avg_wind1,avg_wind2,avg_cloud_quantity,avg_cloud_quantity1,avg_cloud_quantity2,rain_sum,rain_sum1,rain_sum2,rain_sum3,Year
2006/2/1,6.5,8,1,129.5,0,8,1,3.7,8,1,6.3,8,1,129.5,0,8,1,
2006/3/1,9.6,8,1,171.1,0,8,1,4.1,8,1,6,8,1,100.5,0,8,1,
2006/4/1,13.3,8,1,150.2,0,8,1,3.4,8,1,7,8,1,145.5,0,8,1,
2006/5/1,18.3,8,1,136.8,0,8,1,4,8,1,8,8,1,154,0,8,1,
2006/6/1,21.9,8,1,83.9,0,8,1,2.7,8,1,9.1,8,1,128,0,8,1,
2006/7/1,24.8,8,1,74.6,0,8,1,2.7,8,1,9.2,8,1,163,0,8,1,
2006/8/1,26.7,8,1,193.9,0,8,1,2.6,5,1,6.9,8,1,184.5,0,8,1,
2006/9/1,23.1,8,1,123.3,0,8,1,3.4,8,1,7.4,8,1,174,0,8,1,
2006/10/1,19.2,8,1,158.3,0,8,1,3.4,8,1,6.7,8,1,271.5,0,8,1,
2006/11/1,14.1,8,1,147.4,0,8,1,3.3,8,1,6.2,8,1,141.5,0,8,1,
2006/12/1,9.2,8,1,141,0,8,1,3.3,8,1,5.9,8,1,186,0,8,1,
2007/1/1,7.3,8,1,178.2,0,8,1,3.3,8,1,5.4,8,1,51,0,8,1,
2007/2/1,8.4,8,1,179.9,0,8,1,3.6,8,1,4.5,8,1,64.5,0,8,1,
2007/3/1,10.6,8,1,189.7,0,8,1,4,8,1,5.4,8,1,75.5,0,8,1,
2007/4/1,13.5,8,1,161.9,0,8,1,3.9,8,1,7.9,8,1,125.5,0,8,1,
2007/5/1,19.1,8,1,221.4,0,8,1,3.6,8,1,6.3,8,1,178.5,0,8,1,
2007/6/1,22.4,8,1,195.8,0,8,1,3.3,8,1,7.6,8,1,70,0,8,1,
2007/7/1,23.8,8,1,96.4,0,8,1,2.8,5,1,8.9,8,1,357.5,0,8,1,
2007/8/1,28,8,1,253.1,0,5,1,3.5,8,1,6,8,1,26,0,8,1,
2007/9/1,24.5,8,1,116.1,0,5,1,3.6,8,1,7.6,8,1,249.5,0,8,1,
2007/10/1,18.7,8,1,138.8,0,5,1,3.1,5,1,7.2,8,1,156,0,8,1,
2007/11/1,13.1,8,1,140.7,0,8,1,3,8,1,5.9,8,1,41.5,0,8,1,
2007/12/1,8.9,8,1,174,0,8,1,2.9,8,1,5.4,8,1,69,0,8,1,
2008/1/1,5.9,8,1,154.3,0,8,1,3.2,8,1,6.1,8,1,17.5,0,8,1,
2008/2/1,5.4,8,1,213.6,0,8,1,3.8,8,1,4.5,8,1,51.5,0,8,1,
2008/3/1,10.4,8,1,184.3,0,8,1,3.4,8,1,6.2,8,1,165,0,8,1,
2008/4/1,14.3,8,1,155.3,0,8,1,3.6,8,1,7.2,8,1,232,0,8,1,
2008/5/1,18,8,1,138.2,0,8,1,3.2,8,1,8.4,8,1,307.5,0,8,1,
2008/6/1,20.7,8,1,120.7,0,8,1,2.9,8,1,9,8,1,221,0,8,1,
2008/7/1,26.4,8,1,195.6,0,8,1,3,8,1,8.3,8,1,40,0,8,1,
2008/8/1,26.5,8,1,174.4,0,8,1,3.1,8,1,8.3,8,1,191,0,8,1,
2008/9/1,23.9,8,1,138.8,0,5,1,2.9,8,1,7.7,8,1,286.5,0,8,1,
2008/10/1,19,8,1,147.9,0,8,1,2.7,8,1,7,8,1,246,0,8,1,
